Year;Mo;Maximum Water Height (m);Total Deaths;Total Damage ($Mil);Total Houses Destroyed;Total Houses Damaged;Country
2009;7;0.47;;;;;NEW ZEALAND
2009;8;0.01;;;;;INDIA
2009;8;0.6;1;;5192;;JAPAN
2009;8;0.18;;;;;INDONESIA
2009;8;;;;;;USA
2009;9;0.4;81;;;54000;INDONESIA
2009;9;22.35;192;285;;;SAMOA
2009;9;0.27;1117;2200;;181665;INDONESIA
2009;10;0.29;;;;;VANUATU
2010;1;;1;;;;SOUTH KOREA
2010;1;0.01;;;;;SOLOMON ISLANDS
2010;1;7.52;;;16;60;SOLOMON ISLANDS
2010;1;0.03;;;;;SOLOMON ISLANDS
2010;1;3.21;316000;8000;97294;188383;HAITI
2010;2;0.1;;;;;JAPAN
2010;2;29;558;30000;;500000;CHILE
2010;3;0.14;;;;;CHILE
2010;4;0.44;;;;;INDONESIA
2010;4;23;1;;50;;PERU
2010;4;;;;;;COOK ISLANDS
2010;5;0.04;;;;;USA TERRITORY
2010;6;0.03;;;;;INDIA
2010;8;0.23;;;;;VANUATU
2010;8;0.07;;;;;USA TERRITORY
2010;10;16.9;431;39;700;;INDONESIA
2010;12;0.13;;;;;JAPAN
2010;12;4.1;;;;;VANUATU
2011;1;0.03;;;;;VANUATU
2011;2;0.15;;;;;CHILE
2011;2;3.5;185;15000;100000;;NEW ZEALAND
2011;3;0.6;;;;;JAPAN
2011;3;39.26;18429;220136.6;123661;280920;JAPAN
2011;4;0.08;3;;;;JAPAN
2011;5;0.03;;;;;NEW CALEDONIA
2011;6;0.1;;;;;USA
2011;6;0.4;;;;;UK
2011;7;1.2;;;;;NEW ZEALAND
2011;7;0.09;;;;;JAPAN
2011;7;1.5;;;;;NORWAY
2011;8;;;;;;NORWAY
2011;8;0.19;;;;;VANUATU
2011;8;0.15;;;;;VANUATU
2011;9;0.06;;;;;USA
2011;10;0.14;;;;;NEW ZEALAND
2012;2;0.08;;;;;VANUATU
2012;3;0.05;;;;;VANUATU
2012;3;0.2;;;;;JAPAN
2012;3;0.2;2;600;800;;MEXICO
2012;4;1.08;10;;;;INDONESIA
2012;4;;;;;;INDONESIA
2012;4;;;;;;VANUATU
2012;7;;;;;;GREENLAND
2012;8;6.3;;;;;EL SALVADOR
2012;8;0.15;1;0.3;;;PHILIPPINES
2012;9;0.16;2;;;;COSTA RICA
2012;10;12.98;1;;;;CANADA
2012;11;0.35;48;210;2769;7561;GUATEMALA
2012;12;1;;;;;JAPAN
2012;12;;;;;;CHINA
2013;1;1.5;;;;;USA
2013;2;11;10;36;588;478;SOLOMON ISLANDS
2013;2;0.09;;;;;SOLOMON ISLANDS
2013;4;0.2;;;;;RUSSIA
2013;4;0.13;;;;;MEXICO
2013;6;1.8;;;;;USA
2013;6;0.01;;;;;GREECE
2013;7;0.07;;;;35;NEW ZEALAND
2013;8;0.08;;;;;NEW ZEALAND
2013;9;0.57;825;;32638;14118;PAKISTAN
2013;10;0.01;;;;;GREECE
2013;10;0.4;;;;;JAPAN
2013;11;0.15;;;;;ANTARCTICA
2014;3;0.26;;;;;CHILE
2014;4;4.63;7;100;;2600;CHILE
2014;4;0.74;;;;;CHILE
2014;4;0.05;;;;;SOLOMON ISLANDS
2014;4;0.16;;;;;SOLOMON ISLANDS
2014;4;0.43;;;;127;MEXICO
2014;4;0.11;;;;;PAPUA NEW GUINEA
2014;5;0.16;3;4500;;;GREECE
2014;6;0.13;;;;;NEW ZEALAND
2014;6;0.17;;;;;USA
2014;6;2.5;;;;;SPAIN
2014;6;2;;;;;UKRAINE
2014;7;0.2;;;;;JAPAN
2014;7;60;;;;;ICELAND
2014;7;0.08;;;;;USA
2014;10;0.47;;;;;CHILE
2014;10;0.02;1;;5;41;EL SALVADOR
2014;11;0.09;;;;;INDONESIA
2015;2;0.27;;;;;JAPAN
2015;2;8;;;;;VANUATU
2015;3;0.5;;;;;PAPUA NEW GUINEA
2015;5;0.6;;;;;JAPAN
2015;5;1;;;;;PAPUA NEW GUINEA
2015;5;;;;;;NORWAY
2015;6;6.2;2;;;;CHINA
2015;7;0.18;;;;;SCOTLAND
2015;7;0.01;;;;;SOLOMON ISLANDS
2015;7;0.09;;;;;SOLOMON ISLANDS
2015;7;0.08;;;;;USA
2015;9;13.6;15;600;2305;10044;CHILE
2015;10;193;;;;;USA
2015;11;0.55;;;;;CHILE
2015;11;0.3;;;;;JAPAN
2015;11;0.15;2;;1;;GREECE
2015;11;0.1;;;;;SOLOMON ISLANDS
2016;1;0.02;1;;;;MOROCCO
2016;3;0.21;;;;;INDONESIA
2016;4;0.5;663;3300;6998;29672;ECUADOR
2016;4;0.02;;;;;VANUATU
2016;8;0.19;;;;;NEW CALEDONIA
2016;8;0.1;;;;;UK TERRITORY
2016;8;0.01;;;;;JAPAN
2016;9;0.21;;;;;NEW ZEALAND
2016;11;6.9;2;3900;1;;NEW ZEALAND
2016;11;1.44;;;;;JAPAN
2016;11;0.08;;;;;NICARAGUA
2016;12;0.43;1;;191;126;SOLOMON ISLANDS
2016;12;0.05;;;;;SOLOMON ISLANDS
2016;12;0.08;;;;;PAPUA NEW GUINEA
2016;12;0.44;;;;;CHILE
2017;1;0.01;;;;;FIJI
2017;1;0.04;3;;;;PAPUA NEW GUINEA
2017;3;3;5;10;85;;IRAN
2017;4;0.16;;;;;CHILE
2017;4;0.2;;;1;;PHILIPPINES
2017;5;0.06;;;;;USA
2017;5;2;;;;;NETHERLANDS
2017;6;0.4;1;;10;250;GREECE
2017;6;90;4;;11;;GREENLAND
2017;7;0.1;;;;;RUSSIA
2017;7;8;;;1;;COLOMBIA
2017;7;1.9;2;;;;TURKEY
2017;9;2.7;98;4000;47468;94027;MEXICO
2017;10;0.15;;;;;NEW CALEDONIA
2017;11;0.1;;;;;NEW CALEDONIA
2017;11;8.5;1;;3;3;VIETNAM
2017;11;0.05;;;;;NEW CALEDONIA
2017;11;0.08;;;;;NEW CALEDONIA
2017;11;0.37;;;;;NEW CALEDONIA
2017;12;0.5;;;;;KERMADEC ISLANDS
2018;1;0.4;;;;7;HONDURAS
2018;1;0.15;;;;;PERU
2018;1;0.25;;;;;USA
2018;2;1;;;;;PAPUA NEW GUINEA
2018;5;0.4;;370;716;;USA
2018;5;0.15;;;;;JAPAN
2018;5;0.22;;;;;USA
2018;7;0.75;1;;;;SPAIN
2018;7;2.5;17;;5448;;INDONESIA
2018;8;2;560;509;;83392;INDONESIA
2018;8;;;;;;FIJI
2018;8;;2;;;1705;INDONESIA
2018;8;;5;;;;VENEZUELA
2018;8;0.27;;;;;NEW CALEDONIA
2018;9;10.73;4340;1500;3673;39191;INDONESIA
2018;10;0.05;;;;;NEW CALEDONIA
2018;10;0.5;;;;120;GREECE
2018;12;2;;;;;NEW CALEDONIA
2018;12;90;;;;;RUSSIA
2018;12;85;437;250;;2844;INDONESIA
2019;3;2.9;;;;;JAPAN
2019;4;1.75;;;;;USA
2019;5;;;;;;PAPUA NEW GUINEA
2019;6;0.07;;;;;CHILE
2019;6;0.14;;;;;NEW ZEALAND
2019;6;0.1;;;;144;JAPAN
2019;8;0.3;;;;;ITALY
2019;11;0.11;1;;;36;INDONESIA
2020;1;0.06;4;800;300;1390;USA TERRITORY
2020;1;0.11;;;1;;CUBA
2020;3;0.5;;;;;RUSSIA
2020;4;0.5;;;;;USA
2020;5;0.35;;;;;GREECE
2020;5;3;1;;;;INDONESIA
2020;6;0.5;;;;;USA
2020;6;0.11;;;;;NEW ZEALAND
2020;6;1.57;10;;;8123;MEXICO
2020;7;0.24;;;;;USA
2020;10;0.76;;;;;USA
2020;10;3.8;118;400;;;TURKEY
2020;11;0.5;;;;;SPAIN
2020;12;0.16;;;;;CHILE
2021;1;0.04;;;;;ANTARCTICA
2021;2;0.78;;;;;NEW CALEDONIA
2021;3;0.28;;;;;NEW ZEALAND
2021;3;0.31;;;;;NEW ZEALAND
2021;3;1;;;;;NEW ZEALAND
2021;3;0.06;;;;;ALGERIA
2021;6;0.5;;;;;INDONESIA
2021;7;0.5;;;;;USA
2021;8;0.05;1;;;;PHILIPPINES
2021;8;0.64;;;;;UK TERRITORY
2021;8;;2248;;53815;83770;HAITI
2021;9;0.48;3;;;7317;MEXICO
2021;10;;;;;;GREECE
